Измерение Вольт-Амперной характеристики 
Time, s; Voltage, V; Current, A5.769287347793579,0.006551993,1.496e-07
9.906951665878296,0.0065355238,1.508e-07
14.072362422943115,0.510156674,1.2138e-06
18.19989824295044,1.00338997,2.2383e-06
22.360830545425415,1.50701948,3.2615e-06
26.50707769393921,2.01075861,4.261e-06
30.76198983192444,2.51498807,5.2336e-06
34.93152928352356,3.0079152,6.156e-06
39.06173014640808,3.51175709,7.052e-06
43.229198694229126,4.01559299,7.9169e-06
47.34737420082092,4.50908918,8.7183e-06
51.4884877204895,5.01291912,9.487e-06
55.631612062454224,5.51059659,1.02095e-05
59.78957462310791,6.0095852,1.08763e-05
63.937068939208984,6.51332553,1.15101e-05
68.08802843093872,7.01714651,1.20959e-05
72.34903192520142,7.52100034,1.26398e-05
76.64727115631104,8.01445471,1.31319e-05
80.7908706665039,8.51832049,1.35981e-05
84.90950775146484,9.02198915,1.40234e-05
89.0574049949646,9.51539275,1.44114e-05
93.22284531593323,10.019157,1.4764e-05
97.50064516067505,10.5230317,1.50998e-05
101.75770449638367,10.7464169,1.52083e-05
106.03782653808594,10.9719225,1.53578e-05
110.3360710144043,11.3958242,1.55901e-05
114.59423971176147,12.3898949,1.60524e-05
118.73477077484131,12.880282,1.62627e-05
122.87998080253601,13.3925253,1.64573e-05
127.04685926437378,13.865348,1.66382e-05
131.30288910865784,14.3956425,1.68025e-05
135.58019590377808,14.8973191,1.69538e-05
139.857764005661,15.3981325,1.71092e-05
144.1418535709381,15.9033423,1.7237e-05
148.2999346256256,16.4080294,1.73672e-05
152.430171251297,16.9060682,1.7496e-05
156.57061100006104,17.3824271,1.76211e-05
160.7241985797882,17.8682656,1.77353e-05
165.02140378952026,18.37154,1.78658e-05
169.27230834960938,18.8911633,1.79851e-05
173.5683524608612,19.3815384,1.80989e-05
177.8566312789917,19.8819427,1.82161e-05
182.10287404060364,20.3792528,1.83336e-05
186.27337646484375,20.8693622,1.84495e-05
190.56206798553467,21.3696619,1.85625e-05
194.81786823272705,21.8728855,1.86874e-05
199.37074422836304,22.3687396,1.8801e-05
203.76195669174194,22.8579767,1.89155e-05
208.19368410110474,23.3580792,1.9035e-05
212.59110641479492,23.8582416,1.91525e-05
216.867919921875,24.3480312,1.92672e-05
